date,Vancouver,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque,Denver,San Antonio,Dallas,Houston,Kansas City,Minneapolis,Saint Louis,Chicago,Nashville,Indianapolis,Atlanta,Detroit,Jacksonville,Charlotte,Miami,Pittsburgh,Toronto,Philadelphia,New York,Montreal,Boston,Beersheba,Tel Aviv District,Eilat,Haifa,Nahariyya,Jerusalem
2012-10-02,972.8,1023.5833333333334,1011.25,1034.2916666666667,1012.75,1012.7916666666666,1018.0416666666666,1012.7083333333334,1022.5833333333334,1027.125,1013.75,1010.5,1008.2916666666666,1011.625,1012.625,1009.2916666666666,1013.375,1003.0833333333334,1010.0416666666666,1005.5833333333334,1014.375,1008.4166666666666,1012.0416666666666,1010.8333333333334,1014.2916666666666,1002.75,1013.7916666666666,1011.9583333333334,890.625,1013.7916666666666,984.5833333333334,1012.5833333333334,1011.4583333333334,1013.0,1013.0,990.5
2012-10-03,1009.75,1021.0833333333334,1011.0416666666666,1028.8333333333333,1009.875,1010.6666666666666,1013.8333333333334,1011.0416666666666,1021.8333333333334,1019.3333333333334,1015.0,1012.7916666666666,1012.2916666666666,1012.625,1013.7083333333334,1009.5416666666666,1010.625,1006.4166666666666,1006.9166666666666,1007.875,1012.2916666666666,1010.25,1010.4166666666666,1013.4166666666666,1010.1666666666666,1007.0416666666666,1014.5833333333334,1015.5416666666666,1013.0833333333334,1013.4166666666666,986.0,1013.75,1012.9583333333334,1013.0,1013.0,990.7916666666666
2012-10-04,1018.4166666666666,1022.875,1010.5833333333334,1032.7916666666667,1012.375,1013.0833333333334,1011.5833333333334,1011.7916666666666,1018.375,1014.1666666666666,1015.875,1014.5833333333334,1015.5416666666666,1013.375,1011.9583333333334,1014.25,1013.2083333333334,1017.4583333333334,1014.7916666666666,1018.4583333333334,1015.6666666666666,1018.375,1018.75,1018.6666666666666,1016.0833333333334,1006.7083333333334,1016.4583333333334,1016.875,1018.0,1018.2083333333334,986.5416666666666,1014.2083333333334,1013.2083333333334,1013.0,1013.0,991.0
2012-10-05,1023.1666666666666,1022.9166666666666,1015.0416666666666,1025.4583333333333,1017.125,1017.875,1013.625,1015.1666666666666,1021.0,1024.7083333333333,1018.0416666666666,1017.2916666666666,1018.6666666666666,1015.25,1013.0833333333334,1018.5416666666666,1015.4583333333334,1023.375,1020.0833333333334,1024.0,1018.875,1021.9166666666666,1023.25,1019.7916666666666,1021.7916666666666,1010.375,1019.625,1019.25,1019.4583333333334,1021.375,984.1666666666666,1012.5416666666666,1011.9166666666666,1013.0,1013.0,989.75
2012-10-06,1015.6666666666666,1023.3333333333334,1018.4583333333334,1026.6666666666667,1017.1666666666666,1017.875,1014.375,1015.3333333333334,1020.5416666666666,1023.125,1019.2083333333334,1017.375,1018.75,1023.2916666666666,1020.2916666666666,1022.375,1018.9583333333334,1021.125,1020.2916666666666,1021.8333333333334,1017.2916666666666,1019.7083333333334,1021.6666666666666,1017.0416666666666,1019.3333333333334,1003.7916666666666,1018.2083333333334,1016.9166666666666,1014.0833333333334,1019.8333333333334,984.0833333333334,1012.5,1012.7083333333334,1013.0,1013.0,989.5
2012-10-07,1018.0416666666666,1021.0,1017.4166666666666,1023.3333333333334,1014.0416666666666,1014.6666666666666,1013.1666666666666,1012.5833333333334,1003.4166666666666,1024.25,1017.25,1020.2916666666666,1015.9166666666666,1026.1666666666667,1022.625,1023.625,1019.5416666666666,1019.5416666666666,1019.875,1016.4583333333334,1016.2083333333334,1015.4166666666666,1015.5833333333334,1013.6666666666666,1014.375,1004.0416666666666,1012.4166666666666,1011.125,1008.1666666666666,1014.0,984.5,1013.2916666666666,1008.625,1013.0,1013.0,990.0
2012-10-08,1014.4166666666666,1017.0833333333334,1016.5,1018.6666666666666,1012.5416666666666,1013.5,1012.6666666666666,1011.25,993.2916666666666,1021.7916666666666,1021.2916666666666,1024.7083333333333,1019.0,1025.2916666666667,1021.125,1023.875,1021.5416666666666,1021.5833333333334,1021.375,1017.5,1019.9166666666666,1014.7916666666666,1016.5833333333334,1013.5833333333334,1018.6666666666666,1009.0,1018.1666666666666,1017.0833333333334,1013.6666666666666,1015.5,980.0,1013.0,1005.2916666666666,1013.0,1013.0,989.75
2012-10-09,1009.3333333333334,1014.25,1015.875,1014.2083333333334,1013.6666666666666,1014.5,1012.8333333333334,1011.75,1020.7916666666666,1015.3333333333334,1022.6666666666666,1023.4583333333334,1021.4583333333334,1017.5,1008.4166666666666,1021.8333333333334,1020.625,1022.2083333333334,1022.2916666666666,1019.4166666666666,1022.0416666666666,1015.8333333333334,1021.3333333333334,1014.625,1022.8333333333334,1010.0416666666666,1023.2916666666666,1022.0416666666666,1020.625,1019.4166666666666,984.4166666666666,1012.7916666666666,1008.75,1013.0,1013.0,989.75
2012-10-10,1016.375,1017.4166666666666,1016.5833333333334,1022.3333333333334,1013.25,1015.25,1007.2916666666666,1010.2083333333334,1010.75,1003.0833333333334,1016.375,1015.9583333333334,1018.5,1011.8333333333334,1005.6666666666666,1016.625,1014.0416666666666,1019.6666666666666,1017.5416666666666,1018.875,1017.625,1017.625,1021.0416666666666,1015.2083333333334,1019.2916666666666,1002.625,1021.625,1021.9166666666666,1024.4166666666667,1018.375,982.2083333333334,1010.3333333333334,1005.5833333333334,1013.0,1013.0,989.0
2012-10-11,1014.875,1014.625,1014.125,1016.0833333333334,1005.8333333333334,1012.6666666666666,981.9583333333334,995.8333333333334,944.1666666666666,931.5416666666666,1010.0416666666666,1013.4166666666666,1015.6666666666666,1012.375,1006.8333333333334,1017.4166666666666,1011.9166666666666,1013.6666666666666,1010.6666666666666,1012.375,1008.9583333333334,1016.7083333333334,1014.3333333333334,1015.1666666666666,1005.375,1007.5,1013.7083333333334,1013.375,1011.5416666666666,1015.25,975.0,999.125,987.2083333333334,1012.0,1012.0,987.1666666666666
